t X Y Z U V W
1762.00 -6.437129663700897 11.77415327221694 2.737487470195312 213.2897708373201 107.9003629340966 27.40297978844211
1763.00 -6.218171576709269 11.88296354811909 2.764784863700748 214.9013522688031 104.8877691302423 25.97968303456651
1764.00 -5.997594451604554 11.98867984745108 2.790624017125207 216.4559374008528 101.8498583977519 24.55127444016239
1765.00 -5.775456788054884 12.09127678034275 2.814999917315454 217.9531193357299 98.78761284379243 23.11817393909953
1766.00 -5.551817489246628 12.19072996546807 2.837907980895401 219.3925158760375 95.70202257935843 21.68080204144487
1767.00 -5.326735836517114 12.28701603786348 2.859344054730799 220.7737697277444 92.59408499970201 20.23957958902928
1768.00 -5.100271463796022 12.38011265600577 2.879304416141694 222.0965486711086 89.46480405648687 18.79492750680999
1769.00 -4.872484331888653 12.46999850814229 2.89778577285893 223.3605456990981 86.31518952328308 17.34726655111931
1770.00 -4.643434702634327 12.55665331786703 2.914785262722034 224.5654791230133 83.14625625603726 15.89701705582046
1771.00 -4.413183112973645 12.64005784893878 2.930300453116844 225.7110926451339 79.95902345016341 14.44459867733185
1772.00 -4.181790348958306 12.72019390933822 2.944329340152166 226.7971553983182 76.75451389590286 12.99043013942732
1773.00 -3.949317419737388 12.79704435456359 2.956870347575718 227.823461952602 73.53375323359749 11.534928978671
1774.00 -3.715825531553616 12.8705930901651 2.967922325430397 228.7898322889437 70.29776921051143 10.0785112913011
1775.00 -3.481376061783241 12.94082507352101 2.977484548452756 229.6961117403802 67.04759094081663 8.621591482335024
1776.00 -3.246030533052549 13.00772631485908 2.985556714216348 230.5421709009544 63.78424817033533 7.164582017629046
1777.00 -3.009850587463848 13.07128387752916 2.992138941023302 231.3279055028797 60.50877054759983 5.707893179588048
1778.00 -2.772897960963056 13.13148587753434 2.997231765548232 232.0532362625104 57.22218690275557 4.251932827184313
1779.00 -2.535234457880482 13.18832148232907 3.000836140239176 232.7181086957682 53.92552453578674 2.797106160909256
1780.00 -2.296921925675696 13.24178090889487 3.002953430480946 233.3224929037808 50.61980851549835 1.343815493247219
1781.00 -2.058022229916487 13.29185542110523 3.003585411526772 233.8663833295604 47.30606099063248 -0.1075399747735085
1782.00 -1.818597229521088 13.33853732639267 3.002734265204804 234.3497984866355 43.98530051443896 -1.556564370430473
1783.00 -1.578708752291855 13.3818199717325 3.000402576406386 234.7727806606254 40.65854138395616 -3.00286535906853
1784.00 -1.338418570767528 13.42169773895892 2.99659332936366 235.1353955848091 37.32679299519181 -4.446054346315993
1785.00 -1.097788378420108 13.4581660394303 2.991309903724392 235.4377320908106 33.99105921532159 -5.885746672329671
1786.00 -0.8568797662212051 13.49122130806147 2.984556070432388 235.6799017355723 30.6523377729506 -7.321561797673636
1787.00 -0.615754199601473 13.52086099674222 2.97633598742227 235.8620384058432 27.31161966740589 -8.753123480465799
1788.00 -0.3744729958254969 13.54708356716171 2.966654195137664 235.9842979014499 23.96988859795014 -10.18005994445461
1789.00 -0.1330973018031519 13.56988848305969 2.955515611882304 236.0468574986576 20.62812041372683 -11.6020040377146
1790.00 0.1083119276428737 13.58927620192613 2.94292552901373 236.0499154949584 17.2872825851664 -13.01859338167458
1791.00 0.349693951035102 13.60524816617149 2.928889605989652 235.9936907366496 13.9483336975015 -14.42947051021454
1792.00 0.590988261007935 13.61780679379059 2.913413865277239 235.8784221305845 10.61222296695781 -15.8342829985878
1793.00 0.8321346045674985 13.6269554685435 2.896504687135853 235.7043681414904 7.279889780106456 -17.23268358194171
1794.00 1.073073002830613 13.63269852967727 2.878168804284 235.471806276254 3.952263256783029 -18.62433026322449
1795.00 1.313743770230289 13.63504126121301 2.858413296461417 235.1810325565797 0.6302618369001804 -20.00888641027523
1796.00 1.554087533176553 13.63398988082259 2.837245584897501 234.8323609814182 -2.685207108597204 -21.38602084189938
1797.00 1.794045248162885 13.62955152831993 2.814673426697423 234.4261229805583 -5.993247642459997 -22.75540790273194
1798.00 2.03355821930991 13.62173425379181 2.790704909157487 233.9626668607558 -9.292975601444722 -24.1167275266844
1799.00 2.272568115339404 13.61054700539314 2.76534844402155 233.4423572457625 -12.58351891217404 -25.46966528875734
1800.00 2.511016985973109 13.59599961683163 2.738612761690481 232.8655745115902 -15.86401788258352 -26.81391244497913
1801.00 2.748847277752078 13.57810279456693 2.710506905396994 232.2327142183227 -19.13362546905406 -28.14916596019839
1802.00 2.986001849273758 13.55686810474889 2.681040225358369 231.5441865397592 -22.39150751938919 -29.47512852341442
1803.00 3.222423985845186 13.53230795991958 2.650222372920035 230.8004156921418 -25.6368429918529 -30.79150855027119
1804.00 3.458057413552005 13.50443560550353 2.618063294703369 230.0018393631871 -28.86882415053526 -32.0980201722659
1805.00 3.692846312744226 13.47326510610998 2.584573226771529 229.1489081426052 -32.08665673736115 -33.39438321212785
1806.00 3.926735330940831 13.43881133167116 2.549762688827828 228.2420849552549 -35.28956012110003 -34.68032314470301
1807.00 4.159669595156489 13.40108994343972 2.513642478461858 227.2818444980491 -38.4767674237735 -35.95557104253107
1808.00 4.391594723654801 13.36011737986824 2.476223665459527 226.2686726816834 -41.64752562488963 -37.21986350511398
1809.00 4.622456837133488 13.31591084239327 2.437517586194259 225.2030660782306 -44.80109564396154 -38.47294257064439
1810.00 4.852202569348083 13.26848828114596 2.397535838118102 224.0855313756105 -47.93675240178935 -39.71455560867383
1811.00 5.080779077181674 13.21786838061061 2.356290274373116 222.9165848399076 -51.0537848610001 -40.94445519184295
1812.00 5.308134050169134 13.16407054525209 2.313792998545618 221.6967517864894 -54.15149604634978 -42.16239894434869
1813.00 5.534215719485402 13.10711488513282 2.270056359588497 220.4265660608544 -57.22920304529287 -43.36814936426593
