!prob.|identifier|coord1 (ICRS,J2000)|plx|radvel|Mag U|Mag B|Mag V|Mag R|Mag G|Mag I|Mag J|Mag H|Mag K|spec. type
!------|-----------------------------------|---------------------------------------|---------|-------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------------
100|[BVM98] M 67 54|08 51 04.43 +11 41 51.6|~|~|~|21.02|19.36|~|~|~|~|~|~|~
100|2MASS J08475362+1155177|08 47 53.6238488784 +11 55 17.654223144|0.456|12.634100|~|~|~|~|14.682619|~|13.390|12.893|12.834|~
100|2MASS J08475425+1301402|08 47 54.2522118077 +13 01 40.213638355|3.4001|45.552101|~|~|~|~|15.086047|~|13.108|12.423|12.217|M1.3
0|2MASS J08475570+1217389|08 47 55.7016080520 +12 17 38.981879484|1.914|8.283320|~|~|~|~|15.129713|~|13.492|12.912|12.787|~
0|2MASS J08475659+1143557|08 47 56.5927757640 +11 43 55.718756544|0.965|83.614197|~|~|~|~|14.716712|~|13.170|12.663|12.534|~
100|2MASS J08475698+1154467|08 47 56.9864693112 +11 54 46.650352212|2.4253|71.097702|~|~|~|~|15.191159|~|13.385|12.804|12.715|~
72|2MASS J08475764+1252266|08 47 57.6450347952 +12 52 26.692607784|1.2096|~|~|~|~|~|17.409605|~|15.260|14.675|14.475|~
100|2MASS J08475997+1234031|08 47 59.9696234952 +12 34 03.173822940|1.2333|~|~|~|~|~|16.749146|~|14.974|14.363|14.225|~
100|2MASS J08480048+1046351|08 48 00.4968289952 +10 46 35.175597793|2.4119|-43.165401|~|~|~|~|15.169667|~|13.397|12.766|12.660|~
0|2MASS J08480048+1224225|08 48 00.4797675864 +12 24 22.522758192|0.063|120.555000|~|~|~|~|14.563614|~|12.958|12.356|12.290|~
100|2MASS J08480398+1032379|08 48 03.9884745704 +10 32 37.993891259|0.5251|35.952400|~|~|~|~|13.203255|~|11.821|11.362|11.288|~
0|2MASS J08480433+1118214|08 48 04.3383795552 +11 18 21.518468028|1.0824|4.361770|~|~|~|~|15.577652|~|14.013|13.458|13.401|~
100|2MASS J08480651+1129404|08 48 06.5129397672 +11 29 40.462240560|2.5105|16.0|~|~|~|~|14.936844|~|13.201|12.599|12.463|~
98|2MASS J08480725+1246206|08 48 07.2604160304 +12 46 20.702851896|1.2065|~|~|~|~|~|17.507469|~|15.372|14.687|14.512|~
100|2MASS J08480751+1211126|08 48 07.5194992728 +12 11 12.557254416|0.44|59.762798|~|~|~|~|12.518085|~|10.876|10.340|10.192|~
100|2MASS J08480807+1209316|08 48 08.0791891968 +12 09 31.545873792|~|56.920898|~|~|~|~|15.379077|~|13.922|13.448|13.374|~
100|2MASS J08480828+1101257|08 48 08.2857267898 +11 01 25.711823399|1.8376|31.899700|~|~|~|~|15.024579|~|13.350|12.932|12.788|~
100|2MASS J08481023+1059505|08 48 10.2370516428 +10 59 50.536694557|2.5627|23.969200|~|~|~|~|15.687297|~|13.646|12.997|12.833|M1.3
100|2MASS J08481428+1235172|08 48 14.2901971968 +12 35 17.269281528|2.8852|-4.287240|~|~|~|~|14.992329|~|13.188|12.533|12.384|~
100|2MASS J08481819+1055147|08 48 18.1950937208 +10 55 14.794797205|0.4296|107.963997|~|~|~|~|12.367625|~|10.955|10.478|10.412|~
0|2MASS J08482033+1100455|08 48 20.3381820504 +11 00 45.594171792|0.9635|35.701099|~|~|~|~|15.251022|~|14.078|13.671|13.597|~
0|2MASS J08482220+1231423|08 48 22.2071014872 +12 31 42.174811848|1.8108|14.621600|~|~|~|~|16.599497|~|14.486|13.750|13.653|M1.2
100|2MASS J08482333+1043121|08 48 23.3393942448 +10 43 12.073730802|1.9392|32.976898|~|~|~|~|15.433914|~|13.861|13.263|13.185|~
100|2MASS J08482556+1254122|08 48 25.5639807878 +12 54 12.166865666|0.0754|-30.302799|~|~|~|~|15.443578|~|13.746|13.096|12.958|~
0|2MASS J08482637+1112374|08 48 26.3783999496 +11 12 37.421763372|0.2908|51.957699|~|~|~|~|13.510285|~|11.789|11.207|11.054|~
69|2MASS J08482648+0959456|08 48 26.4812087016 +09 59 45.694354740|1.2421|~|~|~|~|~|17.777647|~|15.635|14.812|14.733|~
100|2MASS J08482675+1055283|08 48 26.7576015144 +10 55 28.392712032|1.4845|40.888000|~|12.25|11.78|~|11.440913|~|10.089|9.619|9.551|~
100|2MASS J08483114+1055441|08 48 31.1514464566 +10 55 44.202913920|0.3139|-4.435070|~|~|~|~|15.112873|~|13.713|13.230|13.133|~
0|2MASS J08483131+1238069|08 48 31.3053908016 +12 38 06.796653036|2.0477|15.760900|~|~|~|~|15.413485|~|13.613|13.053|12.845|~
0|2MASS J08483845+1236048|08 48 38.4475442352 +12 36 04.736716884|4.5757|20.6|~|~|~|~|13.384217|~|11.764|11.192|11.092|~
100|2MASS J08483996+1305244|08 48 39.9608718816 +13 05 24.545215315|1.6793|3.182120|~|~|~|~|15.515752|~|13.620|12.979|12.809|~
100|2MASS J08484023+1051365|08 48 40.2395510304 +10 51 36.505717560|0.6273|46.682098|~|~|~|~|12.299198|~|10.658|10.056|9.984|~
100|2MASS J08485082+1055422|08 48 50.8243000272 +10 55 42.131961588|3.1393|29.939400|~|~|~|~|13.509185|~|12.145|11.708|11.600|~
83|2MASS J08485153+1032167|08 48 51.5365210200 +10 32 16.667281428|1.3103|~|~|~|~|~|17.462372|~|15.286|14.642|14.593|~
100|2MASS J08485429+1100232|08 48 54.2942906808 +11 00 23.234522832|1.8921|-37.105598|~|~|~|~|15.356598|~|13.418|12.748|12.652|~
100|2MASS J08485811+1235051|08 48 58.1126485823 +12 35 05.091635386|4.1073|-39.418701|~|~|~|~|16.862999|~|14.202|13.714|13.466|M3.3
